x,y,similarity
0,42,15.464784622192383
0,27,15.439360618591309
0,47,15.184231758117676
0,16,12.517129898071289
0,5,12.354290008544922
1,9,15.611682891845703
1,46,14.73226547241211
1,19,14.253568649291992
1,40,13.994832992553711
1,10,12.76572036743164
2,39,18.360618591308594
2,9,13.307064056396484
2,25,13.06393051147461
2,49,12.239460945129395
2,20,11.945047378540039
3,26,30.69999885559082
3,11,17.132413864135742
3,27,15.607194900512695
3,15,14.07170581817627
3,45,12.929058074951172
4,9,14.301856994628906
4,16,10.439913749694824
4,22,10.409319877624512
4,40,8.378210067749023
4,49,8.345749855041504
5,36,12.965728759765625
5,47,12.466164588928223
5,0,12.354290008544922
5,1,10.068499565124512
5,43,9.474335670471191
6,9,17.1492919921875
6,45,14.503374099731445
6,19,12.852272033691406
6,17,12.250295639038086
6,49,12.218994140625
7,10,35.62971878051758
7,13,18.662939071655273
7,19,16.953163146972656
7,45,16.867624282836914
7,40,13.830163955688477
8,11,13.082446098327637
8,43,12.788825988769531
8,13,12.483320236206055
8,19,12.422930717468262
8,31,12.165325164794922
9,22,18.73477554321289
9,19,17.29111099243164
9,6,17.1492919921875
9,10,16.022314071655273
9,1,15.611682891845703
10,7,35.62971878051758
10,27,19.123451232910156
10,19,17.32500457763672
10,9,16.022314071655273
10,45,15.9722261428833
11,26,20.78302764892578
11,40,19.486698150634766
11,19,17.556245803833008
11,45,17.375747680664062
11,3,17.132413864135742
12,42,13.611357688903809
12,41,13.20827865600586
12,31,12.512378692626953
12,27,12.226292610168457
12,3,12.104751586914062
13,19,18.937763214111328
13,7,18.662939071655273
13,38,17.207687377929688
13,18,16.610496520996094
13,14,16.337858200073242
14,38,20.207992553710938
14,28,17.472759246826172
14,19,16.769752502441406
14,13,16.337858200073242
14,33,16.222341537475586
15,26,15.085330963134766
15,3,14.07170581817627
15,39,13.308578491210938
15,21,12.800699234008789
15,46,12.228856086730957
16,36,15.90838623046875
16,44,13.755350112915039
16,20,13.430777549743652
16,39,13.231985092163086
16,0,12.517129898071289
17,6,12.250295639038086
17,45,12.197114944458008
17,41,11.95279598236084
17,49,11.707738876342773
17,43,11.507701873779297
18,38,17.930618286132812
18,13,16.610496520996094
18,36,11.507471084594727
18,14,10.944204330444336
18,35,10.890819549560547
19,40,19.393943786621094
19,13,18.937763214111328
19,42,18.479537963867188
19,11,17.556245803833008
19,10,17.32500457763672
20,39,18.697263717651367
20,16,13.430777549743652
