Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
9547888,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,"Levine, Amir",Rachel Heller,"=""1585428485""","=""9781585428489""",0,4.14,Tarcher,Hardcover,304,2010,2010,,2024/07/25,to-read,to-read (#402),to-read,,,,0,0
16884,The Making of the Atomic Bomb,Richard Rhodes,"Rhodes, Richard",,"=""0684813785""","=""9780684813783""",0,4.39,Simon & Schuster,Paperback,886,1995,1986,,2023/07/20,"nuclear, currently-reading","nuclear (#1), currently-reading (#2)",currently-reading,,,,2,0
29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.17,Bantam,Hardcover,244,2004,1951,,2024/07/24,to-read,to-read (#401),to-read,,,,0,0
56430139,"Shape: The Hidden Geometry of Information, Biology, Strategy, Democracy, and Everything Else",Jordan Ellenberg,"Ellenberg, Jordan",,"=""1984879065""","=""""",0,3.73,Penguin Press,Kindle Edition,480,2021,2021,,2024/07/22,to-read,to-read (#400),to-read,,,,0,0
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""1594205221""","=""9781594205224""",0,3.95,Penguin Press,Hardcover,480,2014,2014,,2024/07/22,"to-read, maths","to-read (#399), maths (#1)",to-read,,,,0,0
6321411,Something Incredibly Wonderful Happens: Frank Oppenheimer and the world he made up,K.C. Cole,"Cole, K.C.",,"=""0151008221""","=""9780151008223""",0,4.22,Mariner Books,Hardcover,416,2009,2009,,2024/07/22,"to-read, patrick-collison-green","to-read (#398), patrick-collison-green (#13)",to-read,,,,0,0
83884,Paradigms of Artificial Intelligence Programming: Case Studies in Common Lisp,Peter Norvig,"Norvig, Peter",,"=""1558601910""","=""9781558601918""",0,4.32,Morgan Kaufmann,Paperback,976,1991,1991,,2024/07/22,"to-read, patrick-collison-green","to-read (#397), patrick-collison-green (#12)",to-read,,,,0,0
79766,"A Pattern Language: Towns, Buildings, Construction (Center for Environmental Structure Series)",Christopher W. Alexander,"Alexander, Christopher W.","Sara Ishikawa, Murray Silverstein, Max  Jacobson, Ingrid Fiksdahl-King, Shlomo Angel","=""0195019199""","=""9780195019193""",0,4.42,Oxford University Press,Hardcover,1171,1977,1977,,2024/07/22,"to-read, patrick-collison-green","to-read (#396), patrick-collison-green (#11)",to-read,,,,0,0
181239,Metamagical Themas: Questing for the Essence of Mind and Pattern,Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465045669""","=""9780465045662""",0,4.20,Basic Books,Paperback,852,1985,1985,,2024/07/22,"patrick-collison-green, currently-reading","patrick-collison-green (#10), currently-reading (#1)",currently-reading,,,,1,0
2418533,Out of Mao's Shadow: The Struggle for the Soul of a New China,Philip P. Pan,"Pan, Philip P.",,"=""1416537058""","=""9781416537052""",0,4.11,Simon & Schuster,Hardcover,368,2008,2008,,2024/07/22,"to-read, patrick-collison-green","to-read (#395), patrick-collison-green (#9)",to-read,,,,0,0
11473,"The Paris Review Interviews, 1",The Paris Review,"Review, The Paris",Philip Gourevitch,"=""0312361750""","=""9780312361754""",0,4.38,Picador,Paperback,510,2006,2006,,2024/07/22,"to-read, patrick-collison-green","to-read (#394), patrick-collison-green (#8)",to-read,,,,0,0
703532,"Mindstorms: Children, Computers, And Powerful Ideas",Seymour Papert,"Papert, Seymour",,"=""0465046746""","=""9780465046744""",0,4.31,Basic Books,Paperback,252,1993,1980,,2024/07/22,"to-read, patrick-collison-green","to-read (#393), patrick-collison-green (#7)",to-read,,,,0,0
180506,If the Universe Is Teeming with Aliens ... WHERE IS EVERYBODY?: Fifty Solutions to the Fermi Paradox and the Problem of Extraterrestrial Life,Stephen  Webb,"Webb, Stephen",,"=""0387955011""","=""9780387955018""",0,4.21,Copernicus Books,Hardcover,304,2002,2002,,2024/07/08,"to-read, patrick-collison-green","to-read (#375), patrick-collison-green (#5)",to-read,,,,0,0
18490568,"Age of Ambition: Chasing Fortune, Truth, and Faith in the New China",Evan Osnos,"Osnos, Evan",,"=""0374280746""","=""9780374280741""",0,4.25,"Farrar, Straus and Giroux",Hardcover,403,2014,2014,,2024/07/22,"to-read, patrick-collison-green","to-read (#392), patrick-collison-green (#4)",to-read,,,,0,0
722412,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""014200135X""","=""9780142001356""",0,4.57,Penguin Books,Paperback,512,2002,2001,,2023/12/22,"to-read, patrick-collison-green","to-read (#290), patrick-collison-green (#3)",to-read,,,,0,0
29435,Nixon Agonistes: The Crisis of the Self-Made Man,Garry Wills,"Wills, Garry",,"=""0618134328""","=""9780618134328""",0,4.19,Mariner Books,Paperback,640,2002,1969,,2024/07/22,"to-read, patrick-collison-green","to-read (#391), patrick-collison-green (#2)",to-read,,,,0,0
438607,Hard Landing: The Epic Contest for Power and Profits That Plunged the Airlines into Chaos,Thomas Petzinger Jr.,"Jr., Thomas Petzinger",,"=""0812928350""","=""9780812928358""",0,4.40,Three Rivers Press,Paperback,616,1996,1995,,2024/07/22,patrick-collison-green,patrick-collison-green (#1),read,,,,0,0
131048198,Smoke and Ashes: A Writer's Journey through Opium's Hidden Histories,Amitav Ghosh,"Ghosh, Amitav",,"=""9356992665""","=""9789356992665""",0,4.15,Fourth Estate India,Kindle Edition,417,2023,2024,,2024/07/21,to-read,to-read (#390),to-read,,,,0,0
27161156,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,"Vance, J.D.",,"=""0062300547""","=""9780062300546""",0,3.86,Harper,Hardcover,264,2016,2016,,2024/07/21,to-read,to-read (#389),to-read,,,,0,0
9768654,"Quantum: Einstein, Bohr, and the Great Debate about the Nature of Reality (Library Edition)",Manjit Kumar,"Kumar, Manjit",Ray Porter,"=""1441769943""","=""9781441769947""",0,4.26,"Blackstone Audio, Inc.",Audio Cassette,14,2010,2007,,2024/07/21,to-read,to-read (#388),to-read,,,,0,0
816,Cryptonomicon,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.24,Avon,Mass Market Paperback,1152,2002,1999,,2024/07/18,to-read,to-read (#387),to-read,,,,0,0
